ncessch,school_name,school_year,year_start,enrollment,is_interpolated
090192000356,Bulkeley High School Lower School,1999-00,1999,1556.0,False
090192000356,Bulkeley High School Lower School,2000-01,2000,1738.0,False
090192000356,Bulkeley High School Lower School,2001-02,2001,1834.0,False
090192000356,Bulkeley High School Lower School,2002-03,2002,1751.0,False
090192000356,Bulkeley High School Lower School,2003-04,2003,1673.0,False
090192000356,Bulkeley High School Lower School,2004-05,2004,1633.0,False
090192000356,Bulkeley High School Lower School,2005-06,2005,1230.0,False
090192000356,Bulkeley High School Lower School,2006-07,2006,1445.0,False
090192000356,Bulkeley High School Lower School,2007-08,2007,1484.0,False
090192000356,Bulkeley High School Lower School,2008-09,2008,1387.0,False
090192000356,Bulkeley High School Lower School,2009-10,2009,767.0,False
090192000356,Bulkeley High School Lower School,2010-11,2010,675.0,False
090192000356,Bulkeley High School Lower School,2011-12,2011,634.0,False
090192000356,Bulkeley High School Lower School,2012-13,2012,586.0,False
090192000356,Bulkeley High School Lower School,2013-14,2013,493.0,False
090192000356,Bulkeley High School Lower School,2014-15,2014,489.0,False
090192000356,Bulkeley High School Lower School,2015-16,2015,412.0,False
090192000356,Bulkeley High School Lower School,2016-17,2016,,False
090192000356,Bulkeley High School Lower School,2017-18,2017,,False
090192000356,Bulkeley High School Lower School,2018-19,2018,,False
090192000356,Bulkeley High School Lower School,2019-20,2019,,False
090192000356,Bulkeley High School Lower School,2020-21,2020,,False
090192000356,Bulkeley High School Lower School,2021-22,2021,,False
090192000356,Bulkeley High School Lower School,2022-23,2022,,False
090192000356,Bulkeley High School Lower School,2023-24,2023,,False
090192000356,Bulkeley High School Lower School,2024-25,2024,,False
090192000357,Burns Latino Studies Academy,1986-87,1986,929.0,False
090192000357,Burns Latino Studies Academy,1987-88,1987,997.0,False
090192000357,Burns Latino Studies Academy,1988-89,1988,1006.0,False
090192000357,Burns Latino Studies Academy,1989-90,1989,990.0,False
090192000357,Burns Latino Studies Academy,1990-91,1990,1089.0,False
090192000357,Burns Latino Studies Academy,1991-92,1991,1072.0,False
090192000357,Burns Latino Studies Academy,1992-93,1992,765.0,False
090192000357,Burns Latino Studies Academy,1993-94,1993,669.0,False
090192000357,Burns Latino Studies Academy,1994-95,1994,679.0,False
090192000357,Burns Latino Studies Academy,1995-96,1995,737.0,False
090192000357,Burns Latino Studies Academy,1996-97,1996,706.0,False
090192000357,Burns Latino Studies Academy,1997-98,1997,745.0,False
090192000357,Burns Latino Studies Academy,1998-99,1998,666.0,False
090192000357,Burns Latino Studies Academy,1999-00,1999,668.0,False
