School,Year,Ours(CCD),EdSight,Diff
Bulkeley High School,2021-22,616.0,616.0,0.0
Bulkeley High School,2022-23,548.0,548.0,0.0
Bulkeley High School,2023-24,592.0,592.0,0.0
Bulkeley High School,2024-25,552.0,552.0,0.0
HPHS Engineering and Green Technology Academy,2009-10,378.0,378.0,0.0
HPHS Engineering and Green Technology Academy,2010-11,395.0,394.0,1.0
HPHS Engineering and Green Technology Academy,2011-12,433.0,433.0,0.0
HPHS Engineering and Green Technology Academy,2012-13,438.0,438.0,0.0
HPHS Engineering and Green Technology Academy,2013-14,414.0,414.0,0.0
HPHS Engineering and Green Technology Academy,2014-15,373.0,372.0,1.0
HPHS Engineering and Green Technology Academy,2015-16,304.0,304.0,0.0
HPHS Engineering and Green Technology Academy,2016-17,346.0,346.0,0.0
HPHS Engineering and Green Technology Academy,2017-18,344.0,344.0,0.0
HPHS Engineering and Green Technology Academy,2018-19,370.0,370.0,0.0
HPHS FRESHMEN ACADEMY,2009-10,373.0,373.0,0.0
HPHS FRESHMEN ACADEMY,2010-11,320.0,318.0,2.0
HPHS FRESHMEN ACADEMY,2011-12,221.0,221.0,0.0
HPHS Law and Government Academy,2009-10,371.0,371.0,0.0
HPHS Law and Government Academy,2010-11,386.0,378.0,8.0
HPHS Law and Government Academy,2011-12,397.0,396.0,1.0
HPHS Law and Government Academy,2012-13,533.0,533.0,0.0
HPHS Law and Government Academy,2013-14,481.0,481.0,0.0
HPHS Law and Government Academy,2014-15,388.0,389.0,-1.0
HPHS Law and Government Academy,2015-16,367.0,367.0,0.0
HPHS Law and Government Academy,2016-17,314.0,314.0,0.0
HPHS Law and Government Academy,2017-18,360.0,360.0,0.0
HPHS Law and Government Academy,2018-19,324.0,324.0,0.0
HPHS Nursing and Health Sciences Academy,2009-10,394.0,394.0,0.0
HPHS Nursing and Health Sciences Academy,2010-11,387.0,383.0,4.0
HPHS Nursing and Health Sciences Academy,2011-12,378.0,378.0,0.0
HPHS Nursing and Health Sciences Academy,2012-13,489.0,489.0,0.0
HPHS Nursing and Health Sciences Academy,2013-14,458.0,458.0,0.0
HPHS Nursing and Health Sciences Academy,2014-15,394.0,393.0,1.0
HPHS Nursing and Health Sciences Academy,2015-16,362.0,362.0,0.0
HPHS Nursing and Health Sciences Academy,2016-17,383.0,383.0,0.0
HPHS Nursing and Health Sciences Academy,2017-18,371.0,371.0,0.0
HPHS Nursing and Health Sciences Academy,2018-19,344.0,344.0,0.0
High School Inc.,2009-10,197.0,197.0,0.0
High School Inc.,2010-11,265.0,256.0,9.0
High School Inc.,2011-12,324.0,321.0,3.0
High School Inc.,2012-13,377.0,373.0,4.0
High School Inc.,2013-14,343.0,343.0,0.0
High School Inc.,2014-15,256.0,256.0,0.0
High School Inc.,2015-16,233.0,233.0,0.0
High School Inc.,2016-17,236.0,236.0,0.0
High School Inc.,2017-18,219.0,219.0,0.0
High School Inc.,2018-19,190.0,190.0,0.0
Journalism and Media Academy,2009-10,166.0,165.0,1.0
Journalism and Media Academy,2010-11,232.0,229.0,3.0
Journalism and Media Academy,2011-12,317.0,317.0,0.0
Journalism and Media Academy,2012-13,195.0,195.0,0.0
Journalism and Media Academy,2013-14,201.0,201.0,0.0
Journalism and Media Academy,2014-15,190.0,190.0,0.0
Journalism and Media Academy,2015-16,207.0,207.0,0.0
Journalism and Media Academy,2016-17,190.0,190.0,0.0
Journalism and Media Academy,2017-18,211.0,211.0,0.0
Journalism and Media Academy,2018-19,170.0,170.0,0.0
OPPortunity High School,2009-10,90.0,90.0,0.0
OPPortunity High School,2010-11,123.0,123.0,0.0
OPPortunity High School,2011-12,116.0,116.0,0.0
OPPortunity High School,2012-13,110.0,110.0,0.0
OPPortunity High School,2013-14,99.0,99.0,0.0
OPPortunity High School,2014-15,127.0,127.0,0.0
Renzulli Gifted and Talented Academy,2010-11,57.0,57.0,0.0
Renzulli Gifted and Talented Academy,2011-12,105.0,105.0,0.0
Renzulli Gifted and Talented Academy,2012-13,121.0,121.0,0.0
Renzulli Gifted and Talented Academy,2013-14,128.0,128.0,0.0
Renzulli Gifted and Talented Academy,2014-15,83.0,83.0,0.0
Renzulli Gifted and Talented Academy,2015-16,99.0,99.0,0.0
Renzulli Gifted and Talented Academy,2016-17,131.0,131.0,0.0
Renzulli Gifted and Talented Academy,2017-18,134.0,134.0,0.0
Renzulli Gifted and Talented Academy,2018-19,123.0,123.0,0.0
Renzulli Gifted and Talented Academy,2019-20,129.0,129.0,0.0
Renzulli Gifted and Talented Academy,2020-21,122.0,122.0,0.0
Renzulli Gifted and Talented Academy,2021-22,116.0,116.0,0.0
Renzulli Gifted and Talented Academy,2022-23,119.0,119.0,0.0
Renzulli Gifted and Talented Academy,2023-24,116.0,116.0,0.0
Renzulli Gifted and Talented Academy,2024-25,128.0,128.0,0.0
SARAH J RAWSON MIDDLE GRADES ACADEMY,2010-11,188.0,188.0,0.0
SARAH J RAWSON MIDDLE GRADES ACADEMY,2011-12,202.0,202.0,0.0
Betances STEM Magnet School,2012-13,87.0,87.0,0.0
Betances STEM Magnet School,2013-14,173.0,173.0,0.0
Betances STEM Magnet School,2014-15,253.0,253.0,0.0
Betances STEM Magnet School,2015-16,309.0,309.0,0.0
Betances STEM Magnet School,2016-17,375.0,375.0,0.0
Betances STEM Magnet School,2017-18,288.0,288.0,0.0
Betances STEM Magnet School,2018-19,307.0,308.0,-1.0
Betances STEM Magnet School,2019-20,253.0,253.0,0.0
Betances STEM Magnet School,2020-21,229.0,229.0,0.0
Betances STEM Magnet School,2021-22,227.0,227.0,0.0
Betances STEM Magnet School,2022-23,210.0,210.0,0.0
Betances STEM Magnet School,2023-24,212.0,212.0,0.0
Betances STEM Magnet School,2024-25,206.0,206.0,0.0
Great Path Academy at CT State Manchester,2012-13,274.0,274.0,0.0
Great Path Academy at CT State Manchester,2013-14,249.0,249.0,0.0
Great Path Academy at CT State Manchester,2014-15,256.0,256.0,0.0
Great Path Academy at CT State Manchester,2015-16,268.0,268.0,0.0
Great Path Academy at CT State Manchester,2016-17,272.0,272.0,0.0
Great Path Academy at CT State Manchester,2017-18,320.0,320.0,0.0
Great Path Academy at CT State Manchester,2018-19,326.0,326.0,0.0
Great Path Academy at CT State Manchester,2019-20,320.0,320.0,0.0
Great Path Academy at CT State Manchester,2020-21,308.0,308.0,0.0
Great Path Academy at CT State Manchester,2021-22,310.0,310.0,0.0
Great Path Academy at CT State Manchester,2022-23,313.0,313.0,0.0
Great Path Academy at CT State Manchester,2023-24,303.0,303.0,0.0
Great Path Academy at CT State Manchester,2024-25,336.0,336.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2013-14,120.0,120.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2014-15,144.0,144.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2015-16,143.0,143.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2016-17,157.0,157.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2017-18,156.0,156.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2018-19,151.0,151.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2019-20,161.0,161.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2020-21,180.0,180.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2021-22,189.0,189.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2022-23,80.0,80.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2023-24,119.0,119.0,0.0
Hartford PreKindergarten Magnet School: North Campus,2024-25,115.0,115.0,0.0
Montessori Magnet at Batchelder School,2013-14,158.0,158.0,0.0
Montessori Magnet at Batchelder School,2014-15,212.0,212.0,0.0
Montessori Magnet at Batchelder School,2015-16,259.0,259.0,0.0
Montessori Magnet at Batchelder School,2016-17,304.0,304.0,0.0
Montessori Magnet at Batchelder School,2017-18,306.0,306.0,0.0
Montessori Magnet at Batchelder School,2018-19,345.0,345.0,0.0
Montessori Magnet at Batchelder School,2019-20,366.0,367.0,-1.0
Montessori Magnet at Batchelder School,2020-21,372.0,373.0,-1.0
Montessori Magnet at Batchelder School,2021-22,362.0,362.0,0.0
Montessori Magnet at Batchelder School,2022-23,363.0,363.0,0.0
Montessori Magnet at Batchelder School,2023-24,366.0,366.0,0.0
Montessori Magnet at Batchelder School,2024-25,346.0,346.0,0.0
Capital Community College Magnet Academy,2014-15,47.0,47.0,0.0
Capital Community College Magnet Academy,2015-16,56.0,56.0,0.0
Capital Community College Magnet Academy,2016-17,57.0,57.0,0.0
Capital Community College Magnet Academy,2017-18,33.0,33.0,0.0
Capital Community College Magnet Academy,2018-19,11.0,11.0,0.0
Early Childhood Development Center (ECDC),2014-15,28.0,0.0,28.0
Early Childhood Development Center (ECDC),2015-16,28.0,28.0,0.0
Early Childhood Development Center (ECDC),2016-17,16.0,16.0,0.0
New Visions Program,2014-15,50.0,51.0,-1.0
DDP - Simpson-Waverly School,2015-16,4.0,0.0,4.0
DDP - Simpson-Waverly School,2016-17,10.0,10.0,0.0
LC - Burns School,2015-16,8.0,8.0,0.0
LC - Burns School,2016-17,3.0,0.0,3.0
Hartford PreKindergarten Magnet School: South Campus,2022-23,114.0,114.0,0.0
Hartford PreKindergarten Magnet School: South Campus,2023-24,117.0,117.0,0.0
Hartford PreKindergarten Magnet School: South Campus,2024-25,112.0,112.0,0.0
